gene,file,allele,painter_family,created
Speckling,(substrate; referenced by moregenesinfo.md),Spk,speckle,yes
Rex,moregenesinfo.md,Rx,rings,yes
Iuari,moregenesinfo.md,Iua,patches+speckle,yes
Emitola,moregenesinfo.md,Emi,ventral-field+flame,yes
Gudial,moregenesinfo.md,Gud,strokes+spots,yes
Qular,moregenesinfo.md,Qul,patches(white-ground),yes
Qhada,moregenesinfo.md,Qha,topline-bands,yes
Panark,moregenesinfo.md,Pnk,strokes(thick)+outline,yes
Yalia,moregenesinfo.md,Yal,patches(hard)+bands,yes
Fade,moregenesinfo.md,Fd,hair-ramp,yes
Fielded,moregenesinfo.md,Fld,strokes(wispy),yes
Oscar,moregenesinfo.md,Osc,TBD,yes
Opossum,moregenesinfo.md,Opo,TBD,yes
Laciano,moregenesinfo.md,Lac,patches+hair-bands,yes
Valentine Appaloosa,moregenesinfo.md,Vln,spots(appaloosa),yes
Lantern,moregenesinfo.md,La,topline-line+glow,yes
Papillon,moregenesinfo.md,Ppl,neck-wing,yes
Pavonem,moregenesinfo.md,Pv,rings+spots,yes
Synort,moregenesinfo.md,Syn,ramp+patches,yes
Rosette,moregenesinfo.md,Rs,rings(rosette),yes
Fracture,moregenesinfo.md,Fdf,patches(inverse),yes
Aurorae,moregenesinfo.md,Aur,spots+glow+hair-ramp,yes
Glow,moregenesinfo.md,Gl,spots+glow,yes
War Mask,moregenesinfo.md,WrM,face-field,yes
Xuke,moregenesinfo.md,Xuk,speckle(regional),yes
Cosmic,moregenesinfo.md,Cs,blanket+stars,yes
Guppy,moregenesinfo.md,Gup,hair-bands,yes
Hued Pangare,moregenesinfo.md,Hpa,ventral-wash,yes
Stardust,moregenesinfo.md,Str,topline-field+star-dapples,yes
Winged,moregenesinfo.md,Wng,arc-bands+spots,yes
Masked,moregenesinfo.md,Msk,head-neck-field+strokes,yes
Dutch,moregenesinfo.md,Dut,transverse-band,yes
Goth,moregenesinfo.md,Gth,head-neck-field,yes
Galaxy,moregenesinfo.md,Gxy,black-ground+stars,yes
Cleave,moregenesinfo.md,Clv,sawtooth-boundary,yes
Voided,moregenesinfo.md,Vd,white-inverter,yes
Opalized,moregenesinfo.md,Opl,white-palette-cells,yes
Frostfall,moregenesinfo.md,Fro,hair-ramp,yes
Nimbus,moregenesinfo.md,Nim,cloud-wash,yes
Riblines,moregenesinfo.md,Rib,strokes(thin),yes
Brindlelace,moregenesinfo.md,Bnl,strokes(reticulated),yes
Corvid,moregenesinfo.md,Cvd,face-mask+hair-speckle,yes
Bracket,moregenesinfo.md,Brk,strokes(two clusters),yes
Auroraband,moregenesinfo.md,Abd,ribbon+ramp,yes
Vortex,moregenesinfo.md,Vtx,bands(palette),yes
Circuit,moregenesinfo.md,Cir,strokes+spiral+inclusion,yes
Prismtail,moregenesinfo.md,Prt,hair-ramp(spectral),yes
Element Dusted,moregenesinfo.md,Ed,limb+hair ramp+dapples,yes
Filigree,moregenesinfo.md,Flg,spirals+arcs+dashes,yes
Stars,akkadorian-z-mutation-genes.md,Sta,spots(fine),yes
Stellar,akkadorian-z-mutation-genes.md,Ste,strokes(glyph),yes
Dust,akkadorian-z-mutation-genes.md,Dst,speckle,yes
Striped Mane Tail,akkadorian-z-mutation-genes.md,Smt,hair-bundles,yes
Scratches,akkadorian-z-mutation-genes.md,Scr,strokes(spindle),yes
Zebras Coat,akkadorian-z-mutation-genes.md,Zbc,strokes(transverse),yes
Internal Flow,akkadorian-z-mutation-genes.md,Ifl,strokes(contour),yes
Crescents,akkadorian-z-mutation-genes.md,Crs,rings(arc),yes
Wormholes,akkadorian-z-mutation-genes.md,Wmh,rings,yes
Black Holes,akkadorian-z-mutation-genes.md,Bhl,patches(hard),yes
Polymoon,akkadorian-z-mutation-genes.md,Pmn,spots(chain),yes
Lasertae,akkadorian-z-mutation-genes.md,Lst,rings(halo+core),yes
Quazars,akkadorian-z-mutation-genes.md,Qzr,beams,yes
Waves,akkadorian-z-mutation-genes.md,Wav,caudal-field,yes
Shark,akkadorian-z-mutation-genes.md,Shk,withers-field,yes
Collar,akkadorian-z-mutation-genes.md,Col,transverse-split,yes
Accretion,akkadorian-z-mutation-genes.md,Acr,dorsal-ventral-split,yes
Quarter,akkadorian-z-mutation-genes.md,Qtr,quadrant-field,yes
Sky Shadow,akkadorian-z-mutation-genes.md,Sky,whole-body-wash,yes
Integration,akkadorian-z-mutation-genes.md,Int,spots(spread),yes
Paint Moon,akkadorian-z-mutation-genes.md,-,REFUSED-duplicate-of-natural-pinto-genes,refused
Gamma,akkadorian-z-mutation-genes.md,Gam,chromatic-field+glow,yes
Nebula Light,akkadorian-z-mutation-genes.md,Neb,palette-cells+points,yes
Spectrum Light,akkadorian-z-mutation-genes.md,Spc,ramp(spectral),yes
Burn,akkadorian-z-mutation-genes.md,Brn,points-blacken,yes
Kintsugi,newgenes.md,Kts,cracks,yes
Hood,newgenes.md,Hd,head-neck-ramp,yes
Invert,newgenes.md,Inv,colour-inverter,yes
Panda,newgenes.md,Pan,white-ground+regions,yes
Peafowl,newgenes.md,Pwl,speckle(flow)+plumes,yes
Flametouched,newgenes.md,Ffm,flames-or-ramp,yes
Fawn,newgenes.md,Fwn,spots(flowing white),yes
Angler,anglerinfo.md,Ang,spots(string)+glow,yes
Patina,patinageneinfo.md,Pat,verdigris-marble,yes
Marble Tobiano,marbletobianoinfo.md,Tmr,patches(angular),yes
Imperial,imperialinfo.md,Sbi,neck-cape+branches,yes
